Race and Virulence Analysis of Puccinia triticina in China in 2014 and 2015		
Similarities in seed and aphid transmission among Soybean mosaic virus isolates		
Comparative genetic analysis of Magnaporthe oryzae isolates causing gray leaf spot of perennial ryegrass turf in the United States and Japan		
Environmental monitoring and exploratory development of a predictive model for dead spot of creeping bentgrass		
Host range and phylogeny of Fusarium solani f. sp. eumartii from potato and tomato in California		
Rapid determination of rice cultivar responses to the sheath blight pathogen Rhizoctonia solani using a micro-chamber screening method		
A real-time, quantitative PCR seed assay for Botrytis spp. that cause neck rot of onion		
A user's guide to key genetic resources for plant pathology		
Erratum: Evaluation of maize inbred lines for resistance to fusarium ear rot and fumonisin accumulation in grain in tropical Africa (Plant Disease (2007) 91 (3) (279-286))		
Pre- and post-infection activity of azoxystrobin, pyraclostrobin, mefenoxam, and phosphite against leather rot of strawberry, caused by Phytophthora cactorum		
Artificial inoculation of wheat for selecting resistance to Stagonospora nodorum blotch		
Discriminating between isolates of PSbMV using nucleotide sequence polymorphisms in the HC-Pro coding region		
Genetic characterization of binucleate Rhizoctonia species causing web blight on azalea in Mississippi and Alabama		
Erratum: Reduced incidence of bacterial rot on transgenic insect-resistant maize in the Philippines (Plant Disease (2007) 91 (4) (346-351))		
Generation and dissipation of methyl isothiocyanate in soils following metam sodium fumigation: Impact on verticillium control and potato yield		
Lack of seed coat contamination with Cucumber mosaic virus in lupin permits reliable, large-scale detection of seed transmission in seed samples		
Comparing disease predictors and fungicide programs for late blight management in celery		
Erwinia persicina causing chlorosis and necrotic spots in leaves and tendrils of Pisum sativum in Southeastern Spain		
Transmission of тАШcandidatus phytoplasma aurantifoliaтАЩ to bakraee (Citrus reticulata hybrid) by feral Hishimonus phycitis leafhoppers in Iran		
First report on the presence of phoma blackleg pathogenicity group 1 (Leptosphaeria biglobosa) on brassica napus (canola/rapeseed) in Iran		
A genetic shift in the virus strains that cause mosaic in Louisiana sugarcane		
Early detection of Leifsonia xyli subsp. xyli in sugarcane leaves by real-time polymerase chain reaction		
Biological control of grape powdery mildew using mycophagous mites		
Rain fastness and persistence of fungicides for control of alternaria brown spot of citrus		
NAPPFAST: An internet system for the weather-based mapping of plant pathogens		
Characterization of wheat-triticale lines resistant to powdery mildew, stem rust, stripe rust, wheat curl mite, and limitation on spread of WSMV		
Effects of propamocarb hydrochloride on mycelial growth, sporulation, and infection by Phytophthora nicotianae isolates from Virginia nurseries		
Resistance of Botrytis cinerea isolates from vegetable crops to anilinopyrimidine, phenylpyrrole, hydroxyanilide, benzimidazole, and dicarboximide fungicides		
Effects of green manure type and amendment rate on verticillium wilt severity and yield of Russet Burbank potato		
Evaluation of essential oils and their components for broad-spectrum antifungal activity and control of late leaf spot and crown rot diseases in peanut		
Susceptibility of some eastern forest species to Phytophthora ramorum		
Considerations for verticillium wilt resistance evaluation in potato		
Variation for resistance to verticillium wilt in lettuce (Lactuca sativa L.)		
Saprophytic colonization of citrus twigs by Diaporthe citri and factors affecting pycnidial production and conidial survival		
A new strain of Streptomyces causing common scab in potato		
Reduced incidence of bacterial rot on transgenic insect-resistant maize in the Philippines		
Variation in bentgrass susceptibility to Typhula incarnata and in isolate aggressiveness under controlled environment conditions		
Salt marsh Claviceps purpurea in native and invaded Spartina marshes in Northern California		
First record of the perfect stage Calonectria pauciramosa on mastic tree in Italy		
Seasonal progression, symptom development, and yield effects of Alfalfa mosaic virus epidemics on soybean in Wisconsin		
Integration of copper-based and reduced-risk fungicides for control of Blumeriella jaapii on sour cherry		
Identification and characterization of a novel tobamovirus from tropical soda apple in Florida		
Relative ratio of mature pustules: A simple method to assess partial resistance of barley to Puccinia hordei		
Variation in infection capacity and in virulence exists between genotypes of Sugarcane yellow leaf virus		
Cucurbit aphid-borne yellows virus is prevalent in field-grown cucurbit crops of southeastern Spain		
Detection and identification of a group 16SrIII-related phytoplasma associated with coffee crispiness disease in Colombia		
Erratum: Real-time PCR assays for detection and quantification of sweetpotato viruses (Plant Disease (2006) 90, 6 (783-788))		
Effects of row pattern, seeding rate, and inoculation date on fungicide efficacy and development of peanut stem rot		
Potato silver scurf affected by tuber seed treatments and locations, and occurrence of fungicide resistant isolates of Helminthosporium solani		
Resistance in annual Medicago spp. to Phoma medicaginis and Leptosphaerulina trifolii and its relationship to induced production of a phytoestrogen		
Characterization of Rhizoctonia-like fungi isolated from agronomic crops and turfgrasses in Mississippi		
Evaluation of maize inbred lines for resistance to fusarium ear rot and fumonisin accumulation in grain in Tropical Africa		
Association of Ophiostoma novo-ulmi with Scolytus schevyrewi (Scolytidae) in Colorado		
Rapid screening of Musa species for resistance to black leaf streak using in vitro plantlets in tubes and detached leaves		
Impact of Sclerotinia stem rot on yield of canola		
Development of Gibberella ear rot on processing sweet corn hybrids over an extended period of harvest		
Lima bean downy mildew: Impact, etiology, and management strategies for Delaware and the mid-Atlantic region, U.S.		
Genetic analysis of Pyricularia grisea population by rep-PCR during development of resistance to scytalone dehydratase inhibitors of melanin biosynthesis		
Reduction of Phytophthora cactorum in strawberry fields by Trichoderma spp. and soil solarization		
Yield loss in garlic caused by Leek yellow stripe virus Argentinean isolate		
Wheat streak mosaic virus in Australia: Relationship to isolates from the Pacific Northwest of the USA and its dispersion via seed transmission		
The Mdm1 locus and maize resistance to Maize dwarf mosaic virus		
Management of Xiphinema americanum and soybean severe stunt in soybean using crop rotation		
Maturation of thyriothecia of Schizothyrium pomi on the reservoir host Rubus allegheniensis		
New diversity of Ralstonia solanacearum strains associated with vegetable and ornamental crops in Florida		
Occurrence, distribution, and relative incidence of seven viruses infecting greenhouse-grown cucurbits in Iran		
Postharvest decay management for stone fruit crops in California using the "reduced-risk" fungicides fludioxonil and fenhexamid		
Comparison of Muscodor albus volatiles with a biorational mixture for control of seedling diseases of sugar beet and root-knot nematode on tomato		
The relative influence of diseases and other small-scale disturbances on fuel loading in the Black Hills		
Efficacy of germination stimulants of sclerotia of Sclerotium cepivorum for management of white rot of garlic		
First report of rust caused by tranzschelia discolor on peach in Oman		
Stalk rot of sugar beet caused by Fusarium solani on the pacific coast		
First report of leaf rust by puccinia triticina on wheat in Oman		
First report of canker disease caused by botryosphaeria parva on cork oak trees in Italy		
First occurrence of Calonectria leaf spot on Mexican blue palm in Italy		
First report of Pantoea agglomerans causing leaf blight and vascular wilt in maize and sorghum in Mexico		
The first report of tomato torrado virus in Poland		
Relationship of beet curly top foliar ratings to sugar beet yield		
Effect of citrus sudden death on yield and quality of sweet orange cultivars in Brazil		
Effects of host resistance and inoculum density on the suppression of Fusarium wilt of watermelon induced by hairy vetch		
Incidence and significance of iprodione-insensitive isolates of Botrytis squamosa		
Prunus host range of Plum pox virus (PPV) in the United States by aphid and graft inoculation		
Spread of Tomato apical stunt viroid (TASVd) in greenhouse tomato crops is associated with seed transmission and bumble bee activity		
Virulence variability of Puccinia coronata f. sp. avenae isolates collected in three counties from Rio Grande do Sul State, Brazil		
Re-emergence of cassava brown streak disease in Uganda		
Pseudomonas syringae diseases of fruit trees: Progress toward understanding and control		
An IPM program for managing fungal leaf blight diseases of carrot in New York		
Number of experiments needed to determine wheat disease phenotypes for four wheat diseases		
Fungicidal activity of plant volatile compounds for controlling Monilinia laxa in stone fruit		
Seed transmission of Dahlia mosaic virus in Dahlia pinnata		
Evaluation of DNA amplification methods for improved detection of "Candidatus Liberibacter species" associated with citrus huanglongbing		
Spatial pattern of trees affected by black spot in citrus groves in Brazil		
Molecular detection of Plasmodiophora brassicae, causal agent of clubroot of crucifers, in plant and soil		
Phytophthora species associated with diseased woody ornamentals in Minnesota nurseries		
Host-parasite relationships in fall-sown sugar beets infected by the stem and bulb nematode, Ditylenchus dipsaci		
First report of leaf spot and blight of Strelitzia reginae caused by Burkholderia gladioli in Italy		
Identification and distribution of Botryosphaeria spp. associated with grapevine cankers in California		
Influence of Glomus intraradices on black foot disease caused by Cylindrocarpon macrodidymum on Vitis rupestris under controlled conditions		
Deletion of a chromosome arm altered wheat resistance to Fusarium head blight and deoxynivalenol accumulation in Chinese spring		
Identification and detection of Phoma tracheiphila, causal agent of citrus mal secco disease, by real-time polymerase chain reaction		
Effect of soil application of AG3 phosphonate on the severity of clubroot of bok choy and cabbage caused by Plasmodiophora brassicae		
Iris yellow spot virus: An emerging threat to onion bulb and seed production		
Infection potential of Pleospora allii and evaluation of methods for reduction of the overwintering inoculum of brown spot of pear		
Genetic relationships among Magnaporthe poae isolates from turfgrass hosts and relative susceptibility of 'Penncross' and 'Penn A-4' creeping bentgrass		
Influence of host resistance and insecticide seed treatments on curly top in sugar beets		
Molecular monitoring of wild-type and genetically engineered Colletotrichum coccodes biocontrol strains in planta		
Resistance of four inbred maize lines to inoculation with 20 isolates of Maize streak virus from Zimbabwe		
First report and high prevalence in noncherry host of Cherry virus A in Italy		
Brown spot of pear: An emerging disease of economic importance in Europe		
Effect of fungicides and storage conditions on postharvest development of citrus black spot and survival of Guignardia citricarpa in fruit tissues		
A postharvest fruit rot in apple caused by Phacidiopycnis washingtonensis		
Characterization of Rhizoctonia spp. recovered from crop plants used in rotational cropping systems in the Western Cape province of South Africa		
A new subgroup of Rhizoctonia AG-D, AG-D III, obtained from Japanese zoysia grass exhibiting symptoms of a new disease		
Colletotrichum acutatum overwinters on sweet cherry buds		
Yield loss in sweet corn caused by Puccinia sorghi: A meta-analysis		
Spatial heterogeneity of the incidence of powdery mildew on hop cones		
Effect of environmental factors and pesticides on mycoparasitism of Sclerotinia minor by Coniothyrium minitans		
Analysis of factors that influence the epidemiology of Sclerotinia minor on peanut		
Ergosterol as a quantifiable biomass marker for Diaporthe phaseolorum and Cercospora kikuchii		
Characterization of isolates of Fusarium spp. obtained from asparagus in Spain		
Differentiation of strains of Xylella fastidiosa infecting grape, almonds, and oleander using a multiprimer PCR assay		
Phoma basal rot of romaine lettuce in California caused by Phoma exigua: Occurrence, characterization, and control		
Rates of epiphytic growth of Erwinia amylovora on flowers common in the landscape		
Evaluation of elite wheat germ plasm for resistance to tan spot		
Soybean stem colonization by genotypes A and B of Cadophora gregata increases with increasing population densities of Heterodera glycines		
Genetic diversity of Gibberella zeae isolates from Manitoba		
Vegetative compatibility groups and aggressiveness of North American isolates of Colletotrichum coccodes, the causal agent of potato black dot		
Influence of temperature and time of year on colonization of bermudagrass roots by Ophiosphaerella herpotricha		
A detached cucumber fruit method to screen for resistance to Phytophthora capsici and effect of fruit age on susceptibility to infection		
Interactions among Sweet potato chlorotic stunt virus and different potyviruses and potyvirus strains infecting sweetpotato in the United States		
Comparison of models for forecasting of Stewart's disease of corn in Iowa		
Epidemiology of strawberry pallidosis-associated virus and occurrence of pallidosis disease in North America		
Seedling and slow rusting resistance to stripe rust in Chinese common wheats		
Changes in the concentration of an Allexivirus during the crop cycle of two garlic cultivars		
Population biology of Pseudoperonospora humuli in Oregon and Washington		
Response of peanut, pepper, tobacco, and tomato cultivars to two biologically distinct isolates of Tomato spotted wilt virus		
Efficacy of fungicides for control of sclerotinia stem rot of canola		
Interaction of fungicide physical modes of action and plant phenology in control of stem rust of perennial ryegrass grown for seed		
Root diseases of wheat and barley during the transition from conventional tillage to direct seeding		
Geographical distribution of four Sugarcane yellow leaf virus genotypes		
A new greenhouse method to assay soybean resistance to brown stem rot		
Effects of application of fungicide during the dormant period on phomopsis cane and leaf spot of grape disease intensity and inoculum production		
Evaluation of a disease warning system for phomopsis cane and leaf spot of grape: A field study		
Effects of the physiological age of bananas on their susceptibility to wound anthracnose due to Colletotrichum musae		
Identification of sources of multiple disease resistance in mini-core collection of chickpea		
Inheritance of white mold resistance in Phaseolus vulgaris x P. coccineus crosses		
Temporal and spatial epidemiology of phytophthora root rot in fraser fir plantations		
Physiologic specialization of Puccinia triticina on wheat in the United States in 2004		
Variability associated with suppression of gray mold (Botrytis cinerea) on geranium by foliar applications of nonaerated and aerated compost teas		
Optimum sample size for determining disease severity and defoliation associated with septoria leaf spot of blueberry		
Characterization of a novel adhesin-like gene and design of a real-time PCR for rapid, sensitive, and specific detection of Spiroplasma kunkelii		
Diversity of Phytophthora capsici in Northwest Spain: Analysis of virulence, metalaxyl response, and molecular characterization		
Discovery and characterization of Xylella fastidiosa strains in Southern California causing mulberry leaf scorch		
Effect of crop rotation on take-all of wheat in double-cropping systems		
Introduction of asian soybean rust urediniospores into the midwestern United States - A case study		
Potyvirus complexes in Sweetpotato: Occurrence in Australia, serological and molecular resolution, and analysis of the Sweet potato virus 2 (SPV2) component		
Cylindrocladium leaf spot, blight, and crown rot, new diseases of mastic tree seedlings caused by Cylindrocladium scoparium		
Induced resistance to blackleg (Leptosphaeria maculans) disease of canola (Brassica napus) caused by a weakly virulent isolate of Leptosphaeria biglobosa		
The occurrence of PVY<sup>O</sup>, PVY<sup>N</sup>, and PVY<sup>N:O</sup> strains of Potato virus Y in certified potato seed lot trials in Washington and Oregon		
Effect of lesion age, humidity, and fungicide application on sporulation of Alternaria alternata, the cause of brown spot of tangerine		
Perpetuation of powdery mildew infection and identification of Erysiphe australiana as the crape myrtle pathogen in mid-Tennessee		
Colonization of potato plants after aerial infection by Colletotrichum coccodes, causal agent of potato black dot		
Resistance of strawberry cultivars to crown rot caused toy Colletotrichum gloeosporioides isolates from Florida is nonspecific		
Long-distance spread and interregional epidemics of wheat stripe rust in China		
Identification of small grains genotypes resistant to Wheat spindle streak mosaic virus		
Azoxystrobin rate and timing effects on rice head blast incidence and rice grain and milling yields		
Resistance to Passion fruit woodiness virus in transgenic passionflower expressing the virus coat protein gene		
Carrot purple leaf: A new spiroplasmal disease associated with carrots in Washington State		
Field trials of plum clones transformed with the Plum pox virus coat protein (PPV-CP) gene		
Effect of leaf rust on grain yield and yield traits of durum wheats with race-specific and slow-rusting resistance to leaf rust		
Influence of temperature, inoculation interval, and dosage on biofumigation with Muscodor albus to control postharvest gray mold on grapes		
Frequency and pathogenicity of dematiaceous hyphomycetes on annual ryegrass overseeded on bermudagrass in Mississippi		
Virulence and diversity of Blumeria graminis f. sp. hordei in Israel and in the Czech Republic		
Endophyte-mediated suppression of dollar spot disease in fine fescues		
Holdover inoculum of Pseudomonas syringae pv. alisalensis from broccoli raab causes disease in subsequent plantings		
Distribution of Papaya ringspot virus and Papaya mosaic virus in papaya plants (Carica papaya) in Mexico		
Initiation of rice sheath blight epidemics and effect of application timing of azoxystrobin on disease incidence, severity, yield, and milling quality		
Identification of small grains genotypes resistant to Soilborne wheat mosaic virus		
First report of Thielaviopsis trunk rot of date palm in Italy		
First detection of wheat dwarf virus in barley in spain associated with an outbreak of barley yellow dwarf		
Long-term prediction of soybean rust entry into the continental United States		
Almond replant disease and its management with alternative pre-plant soil fumigation treatments and rootstocks		
Evaluation of cotton germ plasm for resistance to the whitefly and cotton leaf crumple (CLCr) disease and etiology of CLCr in California's Imperial Valley		
Erratum: Development and evaluation of PCR-based diagnostic assays for the bacterial speck and bacterial spot pathogens of tomato (Plant Disease (2006) 90, 4 (451-458))		
Seedborne infection of pyrethrum by Phoma ligulicola		
Ground vegetation survey for Xylella fastidiosa in California almond orchards		
Aphis glycines as a vector of persistently and nonpersistently transmitted viruses and potential risks for soybean and other crops		
Aggressiveness of Puccinia striiformis f. sp. tritici isolates in the south-central United States		
Biological significance of mefenoxam resistance in Phytophthora erythroseptica and its implications for the management of pink rot of potato		
Effects of soil-applied late blight foliar fungicides on infection of potato tubers by Phytophthora infestans		
Aggressiveness of Typhula ishikariensis isolates to cultivars of bentgrass species (Agrostis spp.) under controlled environment conditions		
Pre- and post-infection activity of pyraclostrobin for control of anthracnose fruit rot of strawberry caused by Colletotrichum acutatum		
Influence of temperature, relative humidity, ascospore concentration, and length of drying of colonized dry bean flowers on white mold development		
Formation of conidial pseudochains by tomato powdery mildew Oidium neolycopersici		
Effect of Chinese herb extracts on spore germination of Oidium murrayae and nature of inhibitory substance from Chinese rhubarb		
Effect of two allexivirus isolates on garlic yield		
The effect of solar irradiance on the mortality of Phakopsora pachyrhizi urediniospores		
Management of sclerotinia blight of peanut with the biological control agent Coniothyrium minitans		
Geocenamus brevidens associated with reduced yield of no-till annual spring wheat in Oregon		
Response of a maize synthetic to selection for components of partial resistance to Exserohilum turcicum		
Virulence polymorphism of Puccinia recondita f. sp. tritici and effectiveness of Lr genes for leaf rust resistance of wheat in Ukraine		
A multiplex PCR assay to characterize Potato virus Y isolates and identify strain mixtures		
Pseudomonas viridiflava causing necrotic leaf spots and defoliation on Hebe spp. In Northern Spain		
Population dynamics of Phialophora gregata in stem residue of a resistant and a susceptible soybean cultivar		
Comparative efficacy, selection of effective partners, and application time of strobilurin fungicides for control of cercospora leaf spot of sugar beet		
Timing fungicide applications for managing sclerotinia stem rot of potato		
Vector specificity, host range, and genetic diversity of Tomato chlorosis virus		
Assessment of regional site-specific sorghum ergot severity potential using radar-rainfall measurement		
Real-time PCR assays for detection and quantification of sweetpotato viruses		
Spatial pattern of verticillium wilt in commercial mint fields		
Mutation at ??-tubulin codon 200 indicated thiabendazole resistance in Penicillium digitatum collected from California citrus packinghouses		
Resistance conferred by the Ht1 gene in sweet corn infected by mixtures of virulent and avirulent Exserohilum turcicum		
Inoculum sources of Botrytis cinerea important to pear orchards in Oregon		
Fungicide sensitivity of Sclerotinia homoeocarpa from golf courses in Ohio		
Transmission of Potato virus Y in tobacco plants by Myzus persicae nicotianae and M. persicae s.str		
Fusarium wilt of cotton: Population diversity and implications for management		
Evaluation of virulence of Phakopsora pachyrhizi and P. meibomiae isolates		
Control of bacterial wilt of geranium with phosphorous acid		
Widespread occurrence of Wheat spindle streak mosaic virus in Belgium		
Weather factors associated with development of sorghum ergot in the Texas panhandle		
Seed transmission of Cephalosporium gramineum in winter wheat		
Distribution of chrysoporthe canker pathogens on Eucalyptus and Syzygium spp. in eastern and southern Africa		
An improved method for infecting tomato leaves or seedlings with oospores of Phytophthora infestans used to investigate F1 progeny		
Localized distribution of Iris yellow spot virus within leeks and its reliable large-scale detection		
Wilt and collapse of cuphea ignea caused by Phytophthora tropicalis in Italy		
Greasy spot, a serious endemic problem for citrus production in the Caribbean basin		
Role of temperature and moisture in the production and maturation of Gibberella zeae perithecia		
Tolerance in cucumber to Cucurbit yellow stunting disorder virus		
Forecasting site-specific leaf wetness duration for input to disease-warning systems		
Genetic characterization and real-time PCR detection of Burkholderia glumae, a newly emerging bacterial pathogen of rice in the United States		
Residual efficacy of fungicides for control of dollar spot on creeping bentgrass		
Biological and serological properties of Potato virus Y isolates in northeastern United States potato		
Resistance to Cucurbit yellow stunting disorder virus in cucumber		
Development of a real-time, quantitative PCR for detection of the columbia basin potato purple top phytoplasma in plants and beet leafhoppers		
Soybean response to flooded soil conditions and the association with soilborne plant pathogenic genera		
New method for screening cowpea germ plasm for resistance to Cucumber mosaic virus		
Transmission of Xylella fastidiosa, causal agent of citrus variegated chlorosis, by the glassy-winged sharpshooter, Homalodisca coagulata		
Production and dispersal of conidia of Leucostoma cinctum in peach and cherry orchards under irrigation in eastern Washington		
Approaches to training practitioners in the art and science of plant disease diagnosis		
Status of cassava begomoviruses and their new natural hosts in Nigeria		
Sugar beet performance with curly top is related to virus accumulation and age at infection		
A quantitative assay of Puccinia coronata f. sp. avenae DNA in Avena sativa		
The effect of Pythium ultimum and soil flooding on two soybean cultivars		
Temperature sensitivity and efficacy of Wheat streak mosaic virus resistance derived from CO960293 wheat		
Optimizing soil disinfestation procedures for fresh market tomato and pepper production		
Reaction of commercial soft red winter wheat cultivars to Stagonospora nodorum in the greenhouse and field		
Factors affecting the development of wood rot on lemon trees infected with Antrodia sinuosa, Coniophora eremophila, and a Nodulisporium sp		
Seed treatment with phosphonate (AG3) suppresses pythium damping-off of cucumber seedlings		
Factors affecting infection of yellow starthistle (Centaurea solstitialis) by Synchytrium solstitiale, causal agent of false rust disease		
Resistance in U.S. wheat to recent eastern African isolates of Puccinia graminis f. sp. tritici with virulence to resistance gene Sr31		
A soil inoculant inhibits Armillaria mellea in vitro and improves productivity of grapevines with root disease		
Induction of cankers on pear tree branches by Neofabraea alba and N. perennans, and fungicide effects on conidial production on cankers		
Cryopreservation of Synchytrium solstitiale in planta		
Association of plant color and pericarp color with colonization of grain by members of Fusarium and alternaria in near-isogenic sorghum lines		
Preharvest chitosan and postharvest UV irradiation treatments suppress gray mold of table grapes		
Distribution and fungicide sensitivity of fungal pathogens causing anthracnose-like lesions on tomatoes grown in Ohio		
Investigating the presence of biotic agents associated with Mundulla Yellows		
Effects of nocturnal soil temperatures and Meloidogyne incognita densities on cotton seedling growth and the interaction with Thielaviopsis basicola		
Development and evaluation of PCR-based diagnostic assays for the bacterial speck and bacterial spot pathogens of tomato		
Fungicide sensitivity and phylogenetic relationship of anthracnose fungi isolated from various fruit crops in Japan		
Discovery of the canker pathogen Chrysoporthe austroafricana on native Syzygium spp. in South Africa		
Integrated disease management of leaf spot and spotted wilt of peanut		
Population dynamics of plant-parasitic nematodes in golf course greens turf in southern New England		
Control of benzimidazole- and DMI-resistant strains of Cercospora beticola with strobilurin fungicides		
Use of entomopathogenic nematodes and thyme oil to suppress plant-parasitic nematodes on English boxwood		
Bacterial leaf spot of lettuce: Relationship of temperature to infection and potential host range of Xanthomonas campestris pv. vitians		
Root-knot and root-lesion nematode suppression by cover crops, poultry litter, and poultry litter compost		
Green stem disorder of soybean		
Quantifying the feeding periods required by corn flea beetles to acquire and transmit Pantoea stewartii		
Fieberiella florii (Homoptera: Auchenorrhyncha) as a vector of "Candidatus Phytoplasma mali"		
Temperature response of chickpea cultivars to races of Fusarium oxysporum f. sp. ciceris, causal agent of fusarium wilt		
Characterization of Phytophthora capsici associated with roots of weeds on Florida vegetable farms		
Sodium silicate reduces postharvest decay on hami melons: Induced resistance and fungistatic effects		
Occurrence of resistance-breaking isolates of rice yellow mottle virus in west and central Africa		
Reduction of Rhizoctonia bare patch in wheat with barley rotations		
Heritability of resistance to verticillium wilt in alfalfa		
Incidence of Phytophthora blight and Verticillium wilt within chile pepper fields in New Mexico		
Intraplant sampling of grapevines for pierce's disease diagnosis		
Dynamics of lettuce drop incidence and Sclerotinia minor inoculum under varied crop rotations		
Effects of zoospore concentration and application pressure on foliage blight of Catharanthus roseus caused by Phytophthora nicotianae		
Comparing disease forecasters for timing fungicide sprays to control foliar blight on carrot		
Root-knot nematode resistance in pearl millet from West and East Africa		
Identification of a 16SrII-E phytoplasma in Calendula arvensis, Solanum nigrum, and Chenopodium spp.		
Distribution and incidence of some aphid and leafhopper transmitted viruses infecting sugar beets in Iran		
Weather-based fungicide spray programs for control of two foliar diseases on carrot cultivars differing in susceptibility		
Reaction of sorghum lines genetically modified for reduced lignin content to infection by Fusarium and Alternaria spp.		
Southern blight of tall fescue and bluegrass caused by Sclerotium rolfsii in Italy		
First report of a 16SrVI group phytoplasma associated with witches'-broom disease on withania somnifera		
Major gene resistance to blackleg in Brassica napus overcome within three years of commercial production in Southeastern Australia		
Genetic analysis of partial resistance to powdery mildew in bread wheat line saar		
The national plant diagnostic network		
Studies on Maize streak virus and Maize mottle/chlorotic stunt virus in Lagos, Nigeria		
Incidence, spatial patterns, and associations among viruses in snap bean and alfalfa in New York		
Wettability of poplar leaves influences dew formation and infection by Melampsora larici-populina		
Regional development of orchardgrass choke and estimation of seed yield loss		
Optimization and application of a multiplex RT-PCR system for simultaneous detection of five potato viruses using 18S rRNA as an internal control		
Seedborne Cladosporium variabile and Stemphylium botryosum in spinach		
Fertility and mating type frequency in Indian isolates of Sclerospora graminicola, the downy mildew pathogen of pearl millet		
Relationship of the severity of citrus greasy spot, caused by Mycosphaerella citri, to ascospore dose, epiphytic growth, leaf age, and fungicide timing		
Response of canola cultivars to Sclerotinia sclerotiorum in controlled and field environments		
Field application of Dilophospora alopecuri to manage annual ryegrass toxicity caused by Rathayibacter toxicus		
Genetic and pathogenic variation in Phytophthora cactorum affecting fruit and nut crops in California		
Cellulase activity in isolates of Verticillium dahliae differing in aggressiveness		
Infection of rice seed grown in Arkansas by Pyricularia grisea and transmission to seedlings in the field		
Genetic diversity among Ophiosphaerella agrostis strains causing dead spot in creeping bentgrass		
First report of brown rot and wilt of fennel caused by Phytophthora megasperma in Italy		
First report of cucumber vein yellowing virus on cucumber, melon, and watermelon in Iran		
First report of puccinia sorghi on maize in Oman		
Beet root-rot inducing isolates of Fusarium oxysporum from Colorado and Montana		
Dasylirion serratifolium as a new host of botrytis cinerea, the causal agent of leaf spots and blight in Italy		
First record of crown and root rot caused by Cylindrocladium pauciramosum on California Lilac in Italy		
First report of beet virus Q in Spain		
First report of fusarium yellows of sugar beet caused by Fusarium oxysporum in Michigan		
Fusarium yellowing of sugar beet caused by Fusarium graminearum from Minnesota and Wyoming		
First report of Cucurbit aphid-borne yellows virus in Iran causing yellows on four cucurbit crops		
Prereaction of Citrus tristeza virus (CTV) specific antibodies and labeled secondary antibodies increases speed of direct tissue blot immunoassay for CTV		
Survival and subsequent dispersal of rice sclerotial disease fungi, Rhizoctonia oryzae and Rhizoctonia oryzae-sativae, in paddy fields		
Characterization and recent advances in detection of strawberry viruses		
A species-specific PCR assay for detection of Diplodia pinea and D. scrobiculata in dead red and jack pines with collar rot symptoms		
Host resistance to Mirafiori lettuce big-vein virus and Lettuce big-vein associated virus and virus sequence diversity and frequency in California		
Effectiveness of an attenuated Zucchini yellow mosaic virus isolate for cross-protecting cucumber		
Detection and variability of begomoviruses in tomato from the Andean states of Venezuela		
Use of survival analysis to determine the postincubation time-to-death of papaya due to yellow crinkle disease in Australia		
Host-pathogen interactions between Phytophthora infestans and the solanaceous hosts Calibrachoa x hybridus, Petunia x hybrida, and Nicotiana benthamiana		
Septoria leaf spot reduces flower bud set and yield potential of rabbiteye and southern highbush blueberries		
Effect of Potato virus Y on yield of three potato cultivars grown under different nitrogen levels		
Comparison of severity assessment methods for predicting yield loss to rhizoctonia foliar blight in soybean		
Lignin degradation by Fusarium solani f. sp. glycines		
Population dynamics of the lance nematode (Hoplolaimus galeatus) in creeping bentgrass		
Erratum: Azoxystrobin rate and timing effects on rice sheath blight incidence and severity and rice grain and milling yields (Plant Disease (1177-1174))		
Inheritance of resistance to Fusarium wilt in Sweet Basil		
Erratum: Reviving chickpea production in Nepal through integrated crop management, with emphasis on botrytis gray mold (Plant Disease (1252-1262))		
Pre- and postharvest treatments to control green mold of citrus fruit during ethylene degreening		
Avenacin production in creeping bentgrass (Agrostis stolonifera) and its influence on the host range of Gaeumannomyces graminis		
Effects of common viruses on yield and quality of beauregard sweetpotato in Louisiana		
Identification and characterization of Pestalotiopsis spp. causing scab disease of guava, Psidium guajava, in Hawaii		
A one-day sensitive method to detect and distinguish between the citrus black spot pathogen Guignardia citricarpa and the endophyte Guignardia mangiferae		
The continuing saga of rhizomania of sugar beets in the United States		
Bacterial wilt of beans (Phaseolus vulgaris) caused by Curtobacterium flaccumfaciens in Southeastern Spain		
Occurrence of pestalotiopsis uvicola causing leaf spots and stem blight on bay laurel (Laurus nobilis) in sicily		
Molecular, physiological, and host-range characterization of Acidovorax avenae subsp. citrulli isolates from watermelon and melon in Israel		
Influence of epidemiological factors on the bioherbicidal efficacy of Phomopsis amaranthicola on Amaranthus hybridus		
Development of a reduced use fungicide program for control of Botrytis fruit rot on annual winter strawberry		
Isolation and characterization of Burkholderia gladioli from orchids in Hawaii		
An accurate in vitro assay for high-throughput disease testing of Phytophthora infestans in potato		
Efficacy of hot water and chlorine for eradication of Cladosporium variabile, Stemphylium botryosum, and Verticillium dahliae from spinach seed		
Suppression of grapevine powdery mildew by a mycophagous mite		
Dispersal improvement of a powder formulation of Penicillium oxalicum, a biocontrol agent of tomato wilt		
Comparison of techniques to sample Xanthomonas axonopodis pv. citri in windblown spray		
Quantitative assessment of Anguina sp. and Rathayibacter rathayi in Dactylis glomerata seed production fields in Oregon and estimates of yield loss		
